name,price,first_name,last_name,above_100
Charles Ruiz,48.45812,Charles,Ruiz,False
Stephanie Green DDS,9.144974,Stephanie,Green,False
Stacey Garcia,106.6192,Stacey,Garcia,True
Glenda Burke,206.36351,Glenda,Burke,True
Zachary Alvarez,104.05237,Zachary,Alvarez,True
Rachel Shaw,2.4482114,Rachel,Shaw,False
Carmen Beard,269.6237,Carmen,Beard,True
Tony Daniels,186.90358,Tony,Daniels,True
Randy Mora,70.74106,Randy,Mora,False
George Aguirre,128.94975,George,Aguirre,True
James Miller,297.04056,James,Miller,True
Jacqueline Williams,17.306221,Jacqueline,Williams,False
April Taylor,121.289894,April,Taylor,True
Robert Johnson,131.62378,Robert,Johnson,True
Gary White,280.97064,Gary,White,True
Kim Lowe,192.77588,Kim,Lowe,True
Samantha Jones,136.34155,Samantha,Jones,True
Randy Lozano,16.30105,Randy,Lozano,False
Arthur Chavez,6.9037952,Arthur,Chavez,False
Melissa Miller,162.60669,Melissa,Miller,True
Leslie Mccormick,282.5021,Leslie,Mccormick,True
Carlos Rubio,63.218025,Carlos,Rubio,False
David York,86.532196,David,York,False
Gabriella Anthony,7.638645,Gabriella,Anthony,False
Olivia Poole,117.85417,Olivia,Poole,True
Wayne Wilson,74.67047,Wayne,Wilson,False
Elizabeth Moore,267.3988,Elizabeth,Moore,True
Janice Campbell,33.4534,Janice,Campbell,False
Julie Johnson,63.641567,Julie,Johnson,False
Misty Cantrell,189.03922,Misty,Cantrell,True
Robert Soto,109.01383,Robert,Soto,True
Brenda Cowan,60.849575,Brenda,Cowan,False
Kelly Guerrero,259.51123,Kelly,Guerrero,True
David Nichols,19.485249,David,Nichols,False
Kayla Taylor,186.23563,Kayla,Taylor,True
Antonio Garcia,125.47721,Antonio,Garcia,True
Tyler Cisneros,186.58983,Tyler,Cisneros,True
Jillian Crawford,158.81728,Jillian,Crawford,True
Karl Pierce,132.77469,Karl,Pierce,True
Joann Taylor,276.9622,Joann,Taylor,True
Jennifer Jenkins,59.128582,Jennifer,Jenkins,False
Nancy Brown,78.870735,Nancy,Brown,False
Emma Munoz,120.84287,Emma,Munoz,True
Shawn Galloway,141.02986,Shawn,Galloway,True
Melissa Mcguire,213.08212,Melissa,Mcguire,True
Bryan Chavez,125.39616,Bryan,Chavez,True
Fernando Salazar,256.15372,Fernando,Salazar,True
Megan Moore,251.3478,Megan,Moore,True
Robert Williams,175.20973,Robert,Williams,True
Dennis Sanford,29.450432,Dennis,Sanford,False
Kimberly Herrera,154.80765,Kimberly,Herrera,True
Gloria Potts,289.10495,Gloria,Potts,True
Suzanne Barnett,8.470995,Suzanne,Barnett,False
Leah Myers,44.557976,Leah,Myers,False
Kylie Thomas,13.453416,Kylie,Thomas,False
Amanda Murphy,50.553215,Amanda,Murphy,False
Christopher Matthews,282.3635,Christopher,Matthews,True
Nicole Parks,52.283997,Nicole,Parks,False
Bobby Martin,205.48997,Bobby,Martin,True
Kevin Chambers,121.171104,Kevin,Chambers,True
Kimberly Lawson,250.28807,Kimberly,Lawson,True
Rachel Lopez,101.888115,Rachel,Lopez,True
Christopher Clay,219.3845,Christopher,Clay,True
Daniel Martin,0.30019337,Daniel,Martin,False
William Taylor,66.55747,William,Taylor,False
Steven Johnson,111.29328,Steven,Johnson,True
Daniel Miller,80.57757,Daniel,Miller,False
Taylor Bryant,187.63155,Taylor,Bryant,True
Lauren Jones,194.79263,Lauren,Jones,True
Lindsey Robertson,22.737646,Lindsey,Robertson,False
Allison Thomas,168.3335,Allison,Thomas,True
Vernon Bishop,216.18704,Vernon,Bishop,True
Susan Parsons,132.91853,Susan,Parsons,True
Brady Snyder,210.39609,Brady,Snyder,True
Brent Mcgrath,174.69836,Brent,Mcgrath,True
Peter Smith,278.60803,Peter,Smith,True
Deborah Fox,248.12282,Deborah,Fox,True
Heather Collins,147.42741,Heather,Collins,True
Phillip Meyers,102.797745,Phillip,Meyers,True
Nicholas Hubbard,275.40085,Nicholas,Hubbard,True
Misty Ramirez,62.316814,Misty,Ramirez,False
Scott Johnson,85.873886,Scott,Johnson,False
Jay Nixon,253.46748,Jay,Nixon,True
Tony Hall,61.197166,Tony,Hall,False
Taylor Smith,41.492645,Taylor,Smith,False
Mark Reynolds,70.49795,Mark,Reynolds,False
Marilyn Christensen,155.48546,Marilyn,Christensen,True
Denise Atkins,185.4516,Denise,Atkins,True
Melissa Gonzales,228.0026,Melissa,Gonzales,True
Henry Hoffman,229.66289,Henry,Hoffman,True
Daisy Davenport,59.527534,Daisy,Davenport,False
Christopher Paul,122.71317,Christopher,Paul,True
Kevin Craig,148.20105,Kevin,Craig,True
Natalie Coleman,122.14404,Natalie,Coleman,True
Jeremy Strickland,130.84357,Jeremy,Strickland,True
Gary Bonilla,162.61525,Gary,Bonilla,True
Amanda Richards,236.59572,Amanda,Richards,True
Heidi Perez,245.17572,Heidi,Perez,True
Robert Johnson,174.69223,Robert,Johnson,True
Gary Mills,183.83632,Gary,Mills,True
Chelsea Caldwell,16.120836,Chelsea,Caldwell,False
John Frye,223.27742,John,Frye,True
Michael Strong,220.41223,Michael,Strong,True
Christopher Delgado,85.7828,Christopher,Delgado,False
Whitney Wallace,253.45561,Whitney,Wallace,True
Rebecca Martinez,59.6832,Rebecca,Martinez,False
Marissa Mccoy,116.96346,Marissa,Mccoy,True
Ricky Kerr,38.995846,Ricky,Kerr,False
Anna Campbell,249.92134,Anna,Campbell,True
Marie Walters,73.388084,Marie,Walters,False
Robert Martin,38.22288,Robert,Martin,False
Marc Davis,162.28026,Marc,Davis,True
James Dixon,159.37944,James,Dixon,True
Vicki Ramirez,186.16025,Vicki,Ramirez,True
Krista Campbell,161.23384,Krista,Campbell,True
Lauren Patterson,170.21233,Lauren,Patterson,True
Megan Clark,290.25815,Megan,Clark,True
Judy Zimmerman,219.58882,Judy,Zimmerman,True
Joseph Williams MD,210.78418,Joseph,Williams,True
Lori Acevedo,210.6603,Lori,Acevedo,True
William Taylor,275.63318,William,Taylor,True
Dawn Snyder,248.98404,Dawn,Snyder,True
Jennifer Simmons,80.68354,Jennifer,Simmons,False
Alyssa Nunez,163.8009,Alyssa,Nunez,True
Robert Black,63.928005,Robert,Black,False
Julia Young,239.23967,Julia,Young,True
Melinda Barnes,227.25064,Melinda,Barnes,True
Mr. Brett Armstrong,154.13419,Brett,Armstrong,True
Erik Stevenson,246.00407,Erik,Stevenson,True
Daniel George,34.80089,Daniel,George,False
Lindsey Jones,197.70204,Lindsey,Jones,True
Virginia Lopez,227.4256,Virginia,Lopez,True
Andrew Brown,92.88318,Andrew,Brown,False
Donna Lowery,264.8326,Donna,Lowery,True
Alexis Andrade,6.3139853,Alexis,Andrade,False
Alyssa Pierce,47.740326,Alyssa,Pierce,False
Tara Johnson,38.26769,Tara,Johnson,False
Michael Brady,162.05943,Michael,Brady,True
James Rhodes,51.92414,James,Rhodes,False
Pamela Scott,42.433334,Pamela,Scott,False
Martin Ward,170.94983,Martin,Ward,True
Kristina Hernandez,107.691574,Kristina,Hernandez,True
Robert Bush,87.18004,Robert,Bush,False
Rebecca Larson,214.38957,Rebecca,Larson,True
Brittany Watson,190.52002,Brittany,Watson,True
Ryan Ramirez,249.72879,Ryan,Ramirez,True
Edward Burns,87.64997,Edward,Burns,False
John Prince,31.73842,John,Prince,False
Ashley Boyer,107.6626,Ashley,Boyer,True
James Dean,61.695454,James,Dean,False
Natalie Gordon,268.28,Natalie,Gordon,True
Ryan Smith,136.20781,Ryan,Smith,True
Stephen Thompson,54.2964,Stephen,Thompson,False
William Delgado,96.254425,William,Delgado,False
Brian Johnson,124.92921,Brian,Johnson,True
James Patel,216.60564,James,Patel,True
Allen Rogers,145.43425,Allen,Rogers,True
Aimee Reyes,277.66568,Aimee,Reyes,True
Susan Williams,255.21535,Susan,Williams,True
Edward Griffin,108.62052,Edward,Griffin,True
Debra Baker,296.5003,Debra,Baker,True
Yvette Kramer,279.9371,Yvette,Kramer,True
Alyssa Williams DVM,270.89722,Alyssa Williams,DVM,True
John Cunningham,173.02428,John,Cunningham,True
Dana Gilbert,86.51917,Dana,Gilbert,False
Stephen Henry,146.15155,Stephen,Henry,True
Bradley James,137.9825,Bradley,James,True
Melinda Peters,16.83003,Melinda,Peters,False
Robert Goodman,213.5424,Robert,Goodman,True
Leslie Moore,195.96307,Leslie,Moore,True
Sarah Gray,270.79474,Sarah,Gray,True
Amy Haynes,258.5063,Amy,Haynes,True
Gary Dean,184.42516,Gary,Dean,True
Jonathan Duran,224.53615,Jonathan,Duran,True
Elizabeth Ruiz,124.66945,Elizabeth,Ruiz,True
Caitlin Lewis,196.3599,Caitlin,Lewis,True
Micheal Blackburn,10.443175,Micheal,Blackburn,False
Sheryl Mccarthy,159.95198,Sheryl,Mccarthy,True
Lisa Smith,150.91226,Lisa,Smith,True
Jared Juarez,247.56064,Jared,Juarez,True
Brett Castro,217.33286,Brett,Castro,True
Jessica Murray,175.30222,Jessica,Murray,True
Austin Coffey,16.25914,Austin,Coffey,False
Shelly Jacobs,3.8567622,Shelly,Jacobs,False
Elizabeth Logan,298.74234,Elizabeth,Logan,True
Cody Anderson,128.0815,Cody,Anderson,True
Kayla Wood,256.0529,Kayla,Wood,True
Paul Singh DDS,157.96362,Paul,Singh,True
James Mays,245.2433,James,Mays,True
Thomas Moore,244.59149,Thomas,Moore,True
Linda Pacheco,299.604,Linda,Pacheco,True
Jenny Clark,66.32312,Jenny,Clark,False
Patrick Guzman,223.4966,Patrick,Guzman,True
Mr. Scott Peters,229.48734,Scott,Peters,True
John Stevenson,23.099272,John,Stevenson,False
Kristina Brooks,154.68059,Kristina,Brooks,True
Nancy Aguilar,63.387875,Nancy,Aguilar,False
Robert Brown,132.73296,Robert,Brown,True
Jessica Williams,255.95816,Jessica,Williams,True
David Brown,290.59448,David,Brown,True
Dorothy Munoz,242.56454,Dorothy,Munoz,True
Jason Lawson,76.09247,Jason,Lawson,False
James Hall,167.96983,James,Hall,True
Patricia Carpenter,46.08147,Patricia,Carpenter,False
Jeff Cardenas,64.36053,Jeff,Cardenas,False
Michelle Johnson,19.189451,Michelle,Johnson,False
Frank Madden,17.340214,Frank,Madden,False
George Tanner,291.42926,George,Tanner,True
Dylan Johnson,40.653286,Dylan,Johnson,False
Pamela King,282.48175,Pamela,King,True
Jesse Frazier,95.66569,Jesse,Frazier,False
Edward Russell,103.223595,Edward,Russell,True
Diana Mcdonald,183.09644,Diana,Mcdonald,True
Randy Dawson,192.14415,Randy,Dawson,True
Jasmine Williams,286.16922,Jasmine,Williams,True
Robert Smith,124.21901,Robert,Smith,True
Sara Young,183.99449,Sara,Young,True
Samantha Gonzalez,205.58992,Samantha,Gonzalez,True
Christina Torres,286.26816,Christina,Torres,True
Maria Bailey,141.90762,Maria,Bailey,True
Charles Bartlett,94.226585,Charles,Bartlett,False
Natalie Parker,238.01616,Natalie,Parker,True
Paula Hernandez DDS,48.883816,Paula,Hernandez,False
Jessica Jenkins,14.947779,Jessica,Jenkins,False
Drew Henson,223.07613,Drew,Henson,True
Michael Davis,17.98091,Michael,Davis,False
Ian Ramos,23.684656,Ian,Ramos,False
Anna Wright,235.58246,Anna,Wright,True
Ashley Anderson,74.40866,Ashley,Anderson,False
Jennifer Wright,298.12787,Jennifer,Wright,True
Nicole Lopez,67.72889,Nicole,Lopez,False
Tara Ellis,21.927614,Tara,Ellis,False
Hannah Elliott,42.35003,Hannah,Elliott,False
Gavin Rodriguez,116.366425,Gavin,Rodriguez,True
Johnny Jackson,291.5969,Johnny,Jackson,True
Martin Garrett,147.06706,Martin,Garrett,True
Terri Hayes,167.36096,Terri,Hayes,True
Adam Huang,260.84094,Adam,Huang,True
Carolyn Garner,104.41065,Carolyn,Garner,True
Lisa Lee,130.22025,Lisa,Lee,True
Rodney Escobar,8.7116,Rodney,Escobar,False
Michael Johnson,144.54501,Michael,Johnson,True
Michelle Carter DVM,55.948227,Michelle Carter,DVM,False
John Dunn,81.5437,John,Dunn,False
Terry Pierce,297.86618,Terry,Pierce,True
David Buck,258.79108,David,Buck,True
Jennifer Newman,149.30963,Jennifer,Newman,True
Cynthia Lee,246.59341,Cynthia,Lee,True
Sylvia Clark,299.52524,Sylvia,Clark,True
Joseph Taylor,86.08285,Joseph,Taylor,False
Kathleen Barton,37.42181,Kathleen,Barton,False
Michael Harris Jr.,52.86341,Michael Harris,Jr.,False
Eric Benson,172.19672,Eric,Benson,True
Curtis Butler,44.51322,Curtis,Butler,False
Brittany Le,51.04879,Brittany,Le,False
Jeremiah Sims,101.1618,Jeremiah,Sims,True
David Davis,290.42276,David,Davis,True
Tiffany Bond,181.48955,Tiffany,Bond,True
Patricia Chen,61.600594,Patricia,Chen,False
William Crawford,181.76038,William,Crawford,True
Christina Roberts,29.2868,Christina,Roberts,False
Jerome Scott,232.14413,Jerome,Scott,True
Jeffery Walker,272.084,Jeffery,Walker,True
Todd Alvarez,212.17337,Todd,Alvarez,True
John Henry,223.99118,John,Henry,True
James Miles,156.36758,James,Miles,True
Michael Downs,31.197206,Michael,Downs,False
Kayla Wheeler,6.095911,Kayla,Wheeler,False
Charles Martin,161.27522,Charles,Martin,True
Harold Bennett,135.04236,Harold,Bennett,True
Michael Swanson,200.39235,Michael,Swanson,True
Janet Mcdonald,79.803535,Janet,Mcdonald,False
Brett Willis,244.40642,Brett,Willis,True
Jacob Smith,27.92323,Jacob,Smith,False
Alexa Webb,167.56886,Alexa,Webb,True
Louis Klein,40.122,Louis,Klein,False
Tony Yu,15.742387,Tony,Yu,False
Lisa Goodman,121.07841,Lisa,Goodman,True
Kimberly Hernandez,36.973522,Kimberly,Hernandez,False
Phillip Friedman,145.84183,Phillip,Friedman,True
Brian Lam,2.9003944,Brian,Lam,False
Kristin Wilkins,251.85103,Kristin,Wilkins,True
Joshua Lynch,188.87811,Joshua,Lynch,True
Blake Mclaughlin,276.6512,Blake,Mclaughlin,True
Billy Olsen,10.004807,Billy,Olsen,False
Shawn Brock,179.61581,Shawn,Brock,True
Danielle Jones,222.6952,Danielle,Jones,True
Jim Gomez,60.129196,Jim,Gomez,False
Sabrina Henderson,178.74539,Sabrina,Henderson,True
David Pennington,245.3184,David,Pennington,True
Deborah Williams,137.01598,Deborah,Williams,True
Stephanie Bowman,227.00471,Stephanie,Bowman,True
Joseph Frazier,176.45331,Joseph,Frazier,True
Ryan Mclaughlin,249.86438,Ryan,Mclaughlin,True
Tony Hall,135.8551,Tony,Hall,True
Timothy Martin,289.26535,Timothy,Martin,True
John Obrien,261.8481,John,Obrien,True
Barbara Johnson,53.805897,Barbara,Johnson,False
Brandon Marshall,139.84778,Brandon,Marshall,True
Carrie Miller,11.555509,Carrie,Miller,False
Samantha Dean,261.61935,Samantha,Dean,True
Jamie Wilson,87.74932,Jamie,Wilson,False
Carlos Acosta,236.60353,Carlos,Acosta,True
Amy Bennett,228.74945,Amy,Bennett,True
Dominique Wells,116.64359,Dominique,Wells,True
Sarah Bright,237.51608,Sarah,Bright,True
Michael Barton,111.58834,Michael,Barton,True
Rebecca Anderson,172.30626,Rebecca,Anderson,True
Megan Riggs,31.415424,Megan,Riggs,False
Whitney Andrews,44.1177,Whitney,Andrews,False
Catherine Jones,127.01351,Catherine,Jones,True
William Andrews,236.21808,William,Andrews,True
Kathleen Edwards,158.32396,Kathleen,Edwards,True
Roger Frost,220.46889,Roger,Frost,True
Justin Johnson,255.84917,Justin,Johnson,True
Valerie Young,265.17026,Valerie,Young,True
Samantha Perez,239.94698,Samantha,Perez,True
Devin Allen,72.15834,Devin,Allen,False
Stephanie Little,238.92387,Stephanie,Little,True
Melanie Miller,27.507048,Melanie,Miller,False
Erica Beck,2.4085264,Erica,Beck,False
Toni Dunn,168.37337,Toni,Dunn,True
Eric Dunn,211.89758,Eric,Dunn,True
David Jackson,169.35506,David,Jackson,True
Melanie Gates,94.66629,Melanie,Gates,False
Heather Pierce,17.41062,Heather,Pierce,False
Jordan Lewis,153.01462,Jordan,Lewis,True
Michele Johnson,255.71498,Michele,Johnson,True
Samantha Ryan,249.49252,Samantha,Ryan,True
Christopher Hudson,201.99976,Christopher,Hudson,True
Zachary Williams,106.59921,Zachary,Williams,True
Donna Davis,66.7288,Donna,Davis,False
Jordan Erickson,237.77208,Jordan,Erickson,True
Christopher Nolan,88.74278,Christopher,Nolan,False
Evelyn Hanna,11.364588,Evelyn,Hanna,False
Jason Johnson,250.23148,Jason,Johnson,True
Barbara Caldwell,224.71158,Barbara,Caldwell,True
Ronald Huff,7.2205434,Ronald,Huff,False
Holly Norris,216.23051,Holly,Norris,True
Derrick Carter,11.837913,Derrick,Carter,False
Kenneth Golden,285.85083,Kenneth,Golden,True
Grace Edwards,70.086555,Grace,Edwards,False
Jonathan Rios,57.712597,Jonathan,Rios,False
Mackenzie Miller,265.59418,Mackenzie,Miller,True
Tammy Taylor,138.85599,Tammy,Taylor,True
Reginald King,207.33057,Reginald,King,True
Matthew Fletcher,130.55916,Matthew,Fletcher,True
Elizabeth Jordan,177.71243,Elizabeth,Jordan,True
Sally Santiago,45.11903,Sally,Santiago,False
James Johnson,12.895736,James,Johnson,False
Jason Saunders,242.84373,Jason,Saunders,True
Carol Hernandez,4.6243706,Carol,Hernandez,False
Kendra Dawson,291.52127,Kendra,Dawson,True
James Hess DDS,58.42698,James,Hess,False
Michael Stokes,25.518866,Michael,Stokes,False
Jeffrey Martinez,147.69038,Jeffrey,Martinez,True
Joseph Bell,102.98743,Joseph,Bell,True
Pamela Black,140.71939,Pamela,Black,True
Robert Jordan,100.4711,Robert,Jordan,True
Kathy Baker,263.55118,Kathy,Baker,True
Brian Bailey,115.36283,Brian,Bailey,True
Mitchell Clark,190.2858,Mitchell,Clark,True
Kelly Mcintyre,168.73442,Kelly,Mcintyre,True
Susan Ali,260.58212,Susan,Ali,True
Latoya Gonzales,205.04242,Latoya,Gonzales,True
Olivia Mayo,251.53932,Olivia,Mayo,True
Thomas Anderson,221.03203,Thomas,Anderson,True
Todd Jennings,182.39384,Todd,Jennings,True
Paul Dixon,22.257608,Paul,Dixon,False
Julie Torres,130.67876,Julie,Torres,True
James Miller,202.22964,James,Miller,True
John Howard,80.7387,John,Howard,False
Anne Savage,134.04054,Anne,Savage,True
Richard Wilson,226.89171,Richard,Wilson,True
Mrs. Amber Esparza,187.57779,Amber,Esparza,True
Todd Armstrong,99.18946,Todd,Armstrong,False
Aaron Richardson,118.45568,Aaron,Richardson,True
Gregory Pollard,234.13823,Gregory,Pollard,True
Jon Butler,225.76784,Jon,Butler,True
Chelsea Madden,116.622925,Chelsea,Madden,True
Misty Ramos,234.08371,Misty,Ramos,True
Ryan Murphy,233.78728,Ryan,Murphy,True
Brittany Sandoval,259.16153,Brittany,Sandoval,True
Rose Stanton,132.58437,Rose,Stanton,True
Kristen Banks,287.00925,Kristen,Banks,True
Julia Stokes,140.31256,Julia,Stokes,True
Paul Phillips,186.00436,Paul,Phillips,True
Amber Thompson,128.40387,Amber,Thompson,True
Mrs. Valerie Norton,278.4733,Valerie,Norton,True
Adam Parker,228.17804,Adam,Parker,True
Jennifer Gonzales,201.95772,Jennifer,Gonzales,True
Jacqueline Hernandez,260.08606,Jacqueline,Hernandez,True
Cory Walker,276.89517,Cory,Walker,True
Jennifer Miller,220.52022,Jennifer,Miller,True
